Timestamp,Typical Study Session Duration,Daily Study Sessions,Preferred Study Time,Break Frequency,Favorite Break Activity,Schedule Satisfaction,Tomorrow Study Session Duration
3/4/2025 20:58,8,1,Afternoon,3,snack break,2,Less than 30 minutes
3/4/2025 20:58,4,1,Morning,5,Power nap,1,More than 2 hours
3/4/2025 20:58,6,1,Night,3,short walk,4,More than 2 hours
3/4/2025 20:58,9,1,Evening,4,Power nap,2,30-60 minutes
3/4/2025 20:58,3,2,Evening,0,Power nap,4,30-60 minutes
3/4/2025 20:58,5,1,Evening,0,short walk,4,More than 2 hours
3/4/2025 20:58,5,2,Night,4,short walk,2,Less than 30 minutes
3/4/2025 20:58,8,2,Afternoon,1,Power nap,3,More than 2 hours
3/4/2025 20:58,9,2,Evening,1,social media,3,Less than 30 minutes
3/4/2025 20:58,9,1,Night,1,social media,1,1-2 hours
3/4/2025 20:58,8,1,Afternoon,5,snack break,1,1-2 hours
3/4/2025 20:58,4,2,Evening,2,social media,4,More than 2 hours
3/4/2025 20:58,1,1,Afternoon,4,Power nap,3,More than 2 hours
3/4/2025 20:58,8,1,Afternoon,3,snack break,3,30-60 minutes
3/4/2025 20:58,9,3,Afternoon,4,snack break,3,1-2 hours
3/4/2025 20:58,4,1,Night,1,Power nap,1,Less than 30 minutes
3/4/2025 20:58,2,1,Evening,3,snack break,3,1-2 hours
3/4/2025 20:58,2,2,Afternoon,3,snack break,4,1-2 hours
3/4/2025 20:58,7,2,Morning,2,Power nap,4,More than 2 hours
3/4/2025 20:58,8,3,Morning,0,snack break,4,1-2 hours
3/4/2025 20:58,7,2,Night,2,Power nap,3,More than 2 hours
3/4/2025 20:58,10,1,Afternoon,5,short walk,4,1-2 hours
3/4/2025 20:58,5,1,Evening,0,social media,4,More than 2 hours
3/4/2025 20:58,1,1,Afternoon,5,short walk,3,More than 2 hours
3/4/2025 20:58,1,1,Evening,0,snack break,2,1-2 hours
3/4/2025 20:58,2,1,Night,0,social media,3,1-2 hours
3/4/2025 20:58,8,2,Evening,1,social media,2,1-2 hours
3/4/2025 20:58,3,2,Morning,4,Power nap,5,1-2 hours
3/4/2025 20:58,6,2,Night,2,snack break,4,1-2 hours
3/4/2025 20:58,3,2,Night,1,short walk,5,More than 2 hours
3/4/2025 20:58,5,2,Afternoon,0,snack break,5,1-2 hours
3/4/2025 20:58,9,3,Evening,5,Power nap,4,30-60 minutes
3/4/2025 20:58,4,3,Afternoon,2,short walk,1,Less than 30 minutes
3/4/2025 20:58,9,2,Morning,1,social media,4,More than 2 hours
3/4/2025 20:58,5,2,Afternoon,5,social media,4,More than 2 hours
3/4/2025 20:58,6,1,Afternoon,5,snack break,3,30-60 minutes
3/4/2025 20:58,4,1,Afternoon,1,short walk,5,More than 2 hours
3/4/2025 20:58,10,3,Evening,4,Power nap,4,More than 2 hours
3/4/2025 20:58,6,3,Afternoon,3,snack break,5,More than 2 hours
3/4/2025 20:58,10,1,Afternoon,4,snack break,2,30-60 minutes
3/4/2025 20:58,3,2,Morning,5,short walk,4,More than 2 hours
3/4/2025 20:58,4,2,Evening,4,Power nap,3,More than 2 hours
3/4/2025 20:58,10,2,Afternoon,0,short walk,2,More than 2 hours
3/4/2025 20:58,4,1,Afternoon,1,social media,1,30-60 minutes
3/4/2025 20:58,4,3,Morning,4,short walk,3,1-2 hours
3/4/2025 20:58,5,1,Evening,4,social media,5,1-2 hours
3/4/2025 20:58,7,1,Morning,2,snack break,3,1-2 hours
3/4/2025 20:58,7,3,Night,5,short walk,3,More than 2 hours
3/4/2025 20:58,2,3,Night,0,snack break,5,More than 2 hours
3/4/2025 20:58,9,1,Morning,2,snack break,4,More than 2 hours
3/4/2025 20:58,7,2,Afternoon,1,short walk,4,30-60 minutes
3/4/2025 20:58,5,1,Evening,2,Power nap,3,1-2 hours
3/4/2025 20:58,7,2,Afternoon,4,social media,4,30-60 minutes
3/4/2025 20:58,5,2,Night,1,social media,5,More than 2 hours
3/4/2025 20:58,6,2,Morning,4,snack break,3,1-2 hours
3/4/2025 20:58,7,3,Morning,4,snack break,4,More than 2 hours
3/4/2025 20:58,5,1,Afternoon,5,short walk,4,More than 2 hours
3/4/2025 20:58,6,2,Night,4,social media,1,Less than 30 minutes
3/4/2025 20:58,2,2,Morning,0,short walk,3,1-2 hours
3/4/2025 20:58,6,2,Evening,0,short walk,5,More than 2 hours
3/4/2025 20:58,3,1,Evening,4,snack break,4,More than 2 hours
3/4/2025 20:58,8,1,Morning,2,Power nap,2,1-2 hours
3/4/2025 20:59,2,3,Evening,1,short walk,4,30-60 minutes
3/4/2025 20:59,9,1,Evening,5,short walk,5,More than 2 hours
3/4/2025 20:59,2,1,Evening,4,snack break,4,More than 2 hours
3/4/2025 20:59,3,1,Evening,4,short walk,3,Less than 30 minutes
3/4/2025 20:59,7,1,Afternoon,3,social media,3,More than 2 hours
3/4/2025 20:59,6,1,Morning,0,social media,4,More than 2 hours
3/4/2025 20:59,1,1,Afternoon,3,social media,5,More than 2 hours
3/4/2025 20:59,8,1,Evening,2,short walk,2,30-60 minutes
3/4/2025 20:59,5,1,Night,1,snack break,3,1-2 hours
3/4/2025 20:59,5,2,Afternoon,5,social media,4,1-2 hours
3/4/2025 20:59,9,3,Night,5,snack break,2,More than 2 hours
3/4/2025 20:59,7,2,Morning,1,snack break,3,1-2 hours
3/4/2025 20:59,1,3,Afternoon,4,snack break,2,More than 2 hours
3/4/2025 20:59,7,2,Afternoon,1,short walk,5,1-2 hours
3/4/2025 20:59,9,3,Afternoon,5,short walk,3,More than 2 hours
3/4/2025 20:59,10,2,Evening,0,short walk,2,More than 2 hours
3/4/2025 20:59,3,2,Night,1,Power nap,4,More than 2 hours
3/4/2025 20:59,7,2,Morning,4,Power nap,5,More than 2 hours
3/4/2025 20:59,8,2,Night,4,snack break,3,30-60 minutes
3/4/2025 20:59,6,2,Morning,3,short walk,2,30-60 minutes
3/4/2025 20:59,10,3,Evening,1,snack break,3,Less than 30 minutes
3/4/2025 20:59,10,2,Afternoon,4,Power nap,5,More than 2 hours
3/4/2025 20:59,8,3,Night,3,snack break,2,Less than 30 minutes
3/4/2025 20:59,1,1,Night,2,short walk,3,More than 2 hours
3/4/2025 20:59,9,2,Evening,3,Power nap,3,More than 2 hours
3/4/2025 20:59,2,3,Evening,2,short walk,3,1-2 hours
3/4/2025 20:59,7,1,Morning,2,snack break,4,More than 2 hours
3/4/2025 20:59,8,3,Morning,1,short walk,5,1-2 hours
3/4/2025 20:59,1,2,Night,0,snack break,3,30-60 minutes
